,Classes,Old Price,Price Change,New Price,date_range
226,DFSK 330S M/T/ Highline / gas 2022,"389,000 EGP","trending_up +28,000 EGP","417,000 EGP",1/11/2023
227,DFSK 330S M/T Highline 2022,"377,000 EGP","trending_up +28,000 EGP","405,000 EGP",1/11/2023
228,DFSK 330S manual‏ / High line 2022,"355,000 EGP","trending_up +20,000 EGP","375,000 EGP",1/11/2023
229,DFSK Eagle pro Automtic / red interior 2022,"699,999 EGP","trending_up +50,000 EGP","749,999 EGP",1/11/2023
230,DFSK Eagle pro Automtic / Black interior 2022,"695,000 EGP","trending_up +50,000 EGP","745,000 EGP",1/11/2023
231,Chery Tiggo 8 Pro Automatic / Flagship 2022,"925,000 EGP","trending_up +70,000 EGP","995,000 EGP",1/11/2023
232,Chery Tiggo 8 Pro A/T / Luxury 2022,"875,000 EGP","trending_up +70,000 EGP","945,000 EGP",1/11/2023
233,Chery Tiggo 8 Pro A/T / comfort 2022,"800,000 EGP","trending_up +65,000 EGP","865,000 EGP",1/11/2023
234,Chery Tiggo 8 A/T / Luxury 2022,"755,000 EGP","trending_up +60,000 EGP","815,000 EGP",1/11/2023
235,Chery Tiggo 8 Automtic / COMFORT 2022,"710,000 EGP","trending_up +55,000 EGP","765,000 EGP",1/11/2023
236,Chery Tiggo 7 pro A/T / Luxury 2022,"740,000 EGP","trending_up +60,000 EGP","800,000 EGP",1/11/2023
237,Chery Tiggo 7 pro A/T / Comfort 2022,"690,000 EGP","trending_up +55,000 EGP","745,000 EGP",1/11/2023
238,Chery Arrizo 5 AT / BASELINE Leather 2022,"308,000 EGP","trending_up +61,000 EGP","369,000 EGP",1/11/2023
239,Chery Arrizo 5 Manual / Base Line / Leather 2022,"271,000 EGP","trending_up +40,900 EGP","311,900 EGP",1/11/2023
240,Chery Tiggo 7 A/T / Highline 2022,"495,000 EGP","trending_up +54,000 EGP","549,000 EGP",1/11/2023
241,Chery Tiggo 7 A/T / Baseline 2022,"459,000 EGP","trending_up +50,000 EGP","509,000 EGP",1/11/2023
242,Chery Tiggo 3 Automtic 2022,"387,000 EGP","trending_up +50,000 EGP","437,000 EGP",1/11/2023
243,Chery Tiggo 7 A/T / Highline 2023,"545,000 EGP","trending_up +54,000 EGP","599,000 EGP",1/11/2023
244,Chery Tiggo 7 A/T / Baseline 2023,"500,000 EGP","trending_up +50,000 EGP","550,000 EGP",1/11/2023
245,Chery Tiggo 8 Pro AT-6DCT COMFORT 2023,"850,000 EGP","trending_up +20,000 EGP","870,000 EGP",1/11/2023
246,Chery Arrizo 5 AT / HIGHLINE 2023,"358,000 EGP","trending_up +41,900 EGP","399,900 EGP",1/11/2023
247,Chery Arrizo 5 AT / BASELINE Leather / CVT 2023,"338,000 EGP","trending_up +37,900 EGP","375,900 EGP",1/11/2023
248,Chery Arrizo 5 Manual / Base Line / Leather 2023,"299,900 EGP","trending_up +40,000 EGP","339,900 EGP",1/11/2023
249,Chery Tiggo 3 Automtic / Tinted Glass 2023,"425,000 EGP","trending_up +50,000 EGP","475,000 EGP",1/11/2023
250,Hyundai Bayon A/T / Ultimate 2022,"625,000 EGP","trending_up +135,000 EGP","760,000 EGP",1/10/2023
251,Hyundai Bayon A/T / Elite 2022,"600,000 EGP","trending_up +125,000 EGP","725,000 EGP",1/10/2023
252,Hyundai Bayon A/T / Dynamic 2022,"570,000 EGP","trending_up +115,000 EGP","685,000 EGP",1/10/2023
253,Hyundai Bayon AT / Spirit 2022,"535,000 EGP","trending_up +100,000 EGP","635,000 EGP",1/10/2023
254,Hyundai Tucson A/T / Smart 2022,"595,000 EGP","trending_up +320,000 EGP","915,000 EGP",1/10/2023
255,Hyundai Accent HCI A/T / SMART FUN 2022,"545,000 EGP","trending_up +20,000 EGP","565,000 EGP",1/10/2023
256,Hyundai Accent HCI A/T / Smart Safety 2022,"495,000 EGP","trending_up +50,000 EGP","545,000 EGP",1/10/2023
257,Hyundai Accent HCI A/T / Smart Plus 2022,"530,000 EGP","trending_up +55,000 EGP","585,000 EGP",1/10/2023
258,Hyundai Accent HCI A/T / SMART FUN 2022,"510,000 EGP","trending_up +35,000 EGP","545,000 EGP",1/10/2023
259,Haval H6 A/T / High Deluxe 2022,"900,000 EGP","trending_up +75,000 EGP","975,000 EGP",1/10/2023
260,Haval H6 A/T / Deluxe SR 2022,"850,000 EGP","trending_up +75,000 EGP","925,000 EGP",1/10/2023
261,Haval H6 A/T / Deluxe 2022,"805,000 EGP","trending_up  +70,000 EGP","875,000 EGP",1/10/2023
262,Haval H6 A/T / Standard 2022,"760,000 EGP","trending_up +65,000 EGP","825,000 EGP",1/10/2023
263,Hyundai Elantra HD A/T / HIGHLINE TINTED GLASS 15 2023,"485,000 EGP","trending_up +55,000 EGP","540,000 EGP",1/10/2023
264,Hyundai Elantra HD Automatic / GL / DAB / ABS / Tinted glass 2023,"475,000 EGP","trending_up +55,000 EGP","530,000 EGP",1/10/2023
265,Hyundai Elantra HD Automatic / GL / SR / TINTED GLASS 2023,"465,000 EGP","trending_up +55,000 EGP","520,000 EGP",1/10/2023
266,Hyundai Elantra HD Automatic / GL / TINTED GLASS 2023,"455,000 EGP","trending_up +55,000 EGP","510,000 EGP",1/10/2023
267,Haval Jolion A/T / High Deluxe 2022,"745,000 EGP","trending_up +70,000 EGP","815,000 EGP",1/10/2023
268,Hyundai Accent RB A/T / Highline TINTED GLASS 2023,"410,000 EGP","trending_up +45,000 EGP","455,000 EGP",1/10/2023
269,Haval Jolion A/T / Deluxe SR 2022,"710,000 EGP","trending_up +70,000 EGP","780,000 EGP",1/10/2023
270,Hyundai Accent RB A/T / DAB ABS PLUS TINTED GLASS 2023,"400,000 EGP","trending_up +45,000 EGP","445,000 EGP",1/10/2023
271,Haval Jolion A/T / Deluxe 2022,"665,000 EGP","trending_up +70,000 EGP","735,000 EGP",1/10/2023
272,Hyundai Accent RB A/T / DAB ABS TINTED GLASS 2023,"390,000 EGP","trending_up +45,000 EGP","435,000 EGP",1/10/2023
273,Haval Jolion A/T / Standard 2022,"620,000 EGP","trending_up +79,000 EGP","699,000 EGP",1/10/2023
274,Hyundai Accent RB A/T / SR TINTED GLASS 2023,"380,000 EGP","trending_up +40,000 EGP","420,000 EGP",1/10/2023
275,Hyundai Accent RB A/T / TINTED GLASS 2023,"370,000 EGP","trending_up +40,000 EGP","410,000 EGP",1/10/2023
276,Jac JS4 A/T / Utlimate 2022,"587,900 EGP","trending_up +62,000 EGP","649,900 EGP",1/10/2023
277,Jac JS4 A/T / Deluxe 2022,"547,900 EGP","trending_up +52,000 EGP","599,900 EGP",1/10/2023
278,Jac J7 A/T / Ultimate 2022,"579,900 EGP","trending_up +60,000 EGP","639,900 EGP",1/10/2023
279,Jac J7 A/T / Deluxe 2022,"549,900 EGP","trending_up +60,000 EGP","609,900 EGP",1/10/2023
280,Jac JS3 A/T / Smart 2022,"479,900 EGP","trending_up +60,000 EGP","539,900 EGP",1/10/2023
281,Toyota Corolla A/T / High Line / Hybrid 2023,"925,000 EGP","trending_up +50,000 EGP","975,000 EGP",1/10/2023
282,Toyota Corolla Automtic / GR 2023,"700,000 EGP","trending_up +50,000 EGP","750,000 EGP",1/10/2023
283,Toyota Corolla Automatic / Elgance 2023,"734,000 EGP","trending_up +50,000 EGP","784,000 EGP",1/10/2023
284,Toyota Corolla Automatic / SMART / Sun Roof 2023,"670,000 EGP","trending_up +50,000 EGP","720,000 EGP",1/10/2023
285,Toyota Corolla Automtic / SMART 2023,"650,000 EGP","trending_up +50,000 EGP","700,000 EGP",1/10/2023
286,Toyota Corolla Automatic / Comfort 2023,"620,000 EGP","trending_up +50,000 EGP","670,000 EGP",1/10/2023
287,Toyota Corolla Automatic / Active 2023,"575,000 EGP","trending_up +50,000 EGP","625,000 EGP",1/10/2023
288,Toyota Corolla Manual‏ / Active 2023,"540,000 EGP","trending_up +50,000 EGP","590,000  EGP",1/10/2023
289,Toyota Rumion A/T / GLX 2023,"475,000 EGP","trending_up +50,000 EGP","525,000 EGP",1/10/2023
290,Toyota Rumion A/T / GL 2023,"440,000 EGP","trending_up +50,000 EGP","490,000 EGP",1/10/2023
291,Toyota Belta A/T / Smart 2023,"460,000 EGP","trending_up +50,000 EGP","510,000 EGP",1/10/2023
292,Toyota Belta A/T / Active 2023,"410,000 EGP","trending_up +50,000 EGP","460,000 EGP",1/10/2023
293,Toyota Fortuner A/T / Sport 2023,"1,740,000 EGP","trending_up +100,000 EGP","1,840,000 EGP",1/10/2023
294,Toyota Fortuner Automtic / ELEGANCE 2023,"1,640,000 EGP","trending_up +100,000 EGP","1,740,000 EGP",1/10/2023
295,Toyota Fortuner A/T / SMART 2023,"1,490,000 EGP","trending_up +100,000 EGP","1,590,000 EGP",1/10/2023
296,Kaiyi X3 Pro A/T / FLAGSHIP 2022,"399,000 EGP","trending_up +251,000 EGP","650,000 EGP",1/10/2023
297,Kaiyi X3 Pro A/T / Luxury 2022,"364,000 EGP","trending_up +236,000 EGP","600,000 EGP",1/10/2023
298,Kaiyi X3 A/T / FlagShip 2022,"349,000 EGP","trending_up +216,000 EGP","565,000 EGP",1/10/2023
299,Kaiyi X3 A/T / Prestige 2022,"319,000 EGP","trending_up +226,000 EGP","545,000 EGP",1/10/2023
300,Citroën C4 A/T / Shine Red interior 2023,"729,900 EGP","trending_up +135,100 EGP","865,000 EGP",1/10/2023
301,Citroën C4 A/T / Shine 2023,"719,900 EGP","trending_up +135,100 EGP","855,000 EGP",1/10/2023
302,Citroën C4 A/T / feel Bule interior 2023,"669,900 EGP","trending_up +120,100 EGP","790,000 EGP",1/10/2023
303,Citroën C4 A/T / Feel 2023,"659,900 EGP","trending_up +120,100 EGP","780,000 EGP",1/10/2023
304,Citroën C5 Aircross A/T / SHINE 2023,"899,900 EGP","trending_up +170,100 EGP","1,070,000 EGP",1/10/2023
305,Citroën C5 Aircross A/T / FEEL / with out sunroof 2023,"814,900 EGP","trending_up +149,100 EGP","964,000 EGP",1/10/2023
306,Citroën C5 Aircross A/T / Live 2023,"749,990 EGP","trending_up +140,010 EGP","890,000 EGP",1/10/2023
307,Citroën C Elysee A/T / Luxury 2023,"429,900 EGP","trending_up +69,100 EGP","499,000 EGP",1/10/2023
308,Citroën C Elysee A/T / Comfort 2023,"389,900 EGP","trending_up +69,100 EGP","459,000 EGP",1/10/2023
309,Bestune B70 A/T / Deluxe 2023,"835,000 EGP","trending_up +10,000 EGP","845,000 EGP",1/9/2023
310,Bestune T77 Pro A/T / Premium 2023,"815,000 EGP","trending_up +10,000 EGP","825,000 EGP",1/9/2023
311,Opel Crossland A/T / Top Line 2023,"579,990 EGP","trending_up +90,000 EGP","669,990 EGP",1/9/2023
312,Opel Crossland A/T / Elegance 2023,"549,990 EGP","trending_up +80,000 EGP","629,990 EGP",1/9/2023
313,Opel Mokka A/T / GS Line 2023,"689,990 EGP","trending_up +110,000 EGP","799,990 EGP",1/9/2023
314,Opel Mokka A/T / Elegance 2023,"649,990 EGP","trending_up +110,000 EGP","759,990 EGP",1/9/2023
315,Opel Corsa A/T / Top line Plus 2023,"549,990 EGP","trending_up +90,000 EGP","639,990 EGP",1/9/2023
316,Opel Corsa A/T / Elegance 2023,"519,990 EGP","trending_up +80,000 EGP","599,990 EGP",1/9/2023
317,MG HS Automatic / LFC Edition 2022,"749,990 EGP","trending_up +60,010 EGP","810,000 EGP",1/9/2023
318,MG HS A/T / Luxury Brown Interior 2022,"739,990 EGP","trending_up +60,010 EGP","800,000 EGP",1/9/2023
319,MG HS A/T / Luxury Black Interior 2022,"729,990 EGP","trending_up +60,010 EGP","790,000 EGP",1/9/2023
320,MG ZS Automatic / Luxury 2022,"529,990 EGP","trending_up +50,010 EGP","580,000 EGP",1/9/2023
321,MG ZS Automatic / Comfort 2022,"509,990 EGP","trending_up +50,010 EGP","560,000 EGP",1/9/2023
322,MG ZS Automatic / Classic 2022,"489,990 EGP","trending_up +50,010 EGP","540,000 EGP",1/9/2023
323,MG Rx5 A/T / Luxury 2022,"679,990 EGP","trending_up +40,010 EGP","720,000 EGP",1/9/2023
324,MG Rx5 A/T / Comfort 2022,"649,990 EGP","trending_up +40,010 EGP","690,000 EGP",1/9/2023
325,MG 6 A/T / LUX / Red Interior) 2022,"599,990 EGP","trending_up +60,010 EGP","660,000 EGP",1/9/2023
326,MG 6 A/T / LUX / Black interior 2022,"589,990 EGP","trending_up +60,010 EGP","650,000 EGP",1/9/2023
327,MG 6 A/T / Comfort 2022,"559,990 EGP","trending_up +60,010 EGP","620,000 EGP",1/9/2023
328,MG 5 A/T / Luxury 2022,"474,990 EGP","trending_up +40,010 EGP","515,000 EGP",1/9/2023
329,MG 5 A/T / Comfort 2022,"449,990 EGP","trending_up +40,010 EGP","490,000 EGP",1/9/2023
330,MG 5 A/T / Standard 2022,"419,990 EGP","trending_up +40,010 EGP","460,000 EGP",1/9/2023
331,Nissan Sunny A/T / Super Saloon 2023,"376,000 EGP","trending_up +30,000 EGP","406,000 EGP",1/4/2023
332,Nissan Sunny A/T / plus 2023,"362,000 EGP","trending_up +30,000 EGP","392,000 EGP",1/4/2023
333,Nissan Sunny Automatic / Baseline 2023,"341,500 EGP","trending_up +30,000 EGP","371,500 EGP",1/4/2023
334,Nissan Sunny Manual‏ / Baseline 2023,"310,400 EGP","trending_up +30,000 EGP","340,400 EGP",1/4/2023
335,Chery Arrizo 5 AT / HIGHLINE 2023,"354,900 EGP","trending_up +3,100 EGP","358,000 EGP",1/2/2023
336,Chery Arrizo 5 AT / BASELINE Leather / CVT 2023,"334,900 EGP","trending_up +3,100 EGP","338,000 EGP",1/2/2023
337,Chery Tiggo 7 A/T / Highline 2023,"529,900 EGP","trending_up +15,100 EGP","545,000 EGP",1/2/2023
338,Chery Tiggo 7 A/T / Baseline 2023,"489,900 EGP","trending_up +10,100 EGP","500,000 EGP",1/2/2023
339,Chery Tiggo 3 Automtic / Tinted Glass 2023,"414,900 EGP","trending_up +10,100 EGP","425,000 EGP",1/2/2023
340,Chery Tiggo 8 Pro AT-6DCT COMFORT 2023,"790,000 EGP","trending_up +60,000 EGP","850,000 EGP",1/2/2023
341,Chery Tiggo 8 Pro Automatic / Flagship 2022,"910,000 EGP","trending_up +15,000 EGP","925,000 EGP",1/2/2023
342,Chery Tiggo 8 Pro A/T / Luxury 2022,"860,000 EGP","trending_up +15,000 EGP","875,000 EGP",1/2/2023
343,Chery Tiggo 8 Pro A/T / comfort 2022,"785,000 EGP","trending_up +15,000 EGP","800,000 EGP",1/2/2023
344,Chery Tiggo 7 pro A/T / Luxury 2022,"730,000 EGP","trending_up +10,000 EGP","740,000 EGP",1/2/2023
345,Chery Tiggo 7 pro A/T / Comfort 2022,"680,000 EGP","trending_up +10,000 EGP","690,000 EGP",1/2/2023
346,Chery Tiggo 7 A/T / Highline 2022,"480,000 EGP","trending_up +15,000 EGP","495,000 EGP",1/2/2023
347,Chery Tiggo 7 A/T / Baseline 2022,"449,000 EGP","trending_up +10,000 EGP","459,000 EGP",1/2/2023
348,Chery Tiggo 3 Automtic 2022,"377,000 EGP","trending_up +10,000 EGP","387,000 EGP",1/2/2023
349,Chery Tiggo 8 A/T / Luxury 2022,"740,000 EGP","trending_up +15,000 EGP","755,000 EGP",1/2/2023
350,Chery Tiggo 8 Automtic / COMFORT 2022,"695,000 EGP","trending_up +15,000 EGP","710,000 EGP",1/2/2023
351,Chery Arrizo 5 AT / HIGHLINE 2022,"325,000 EGP","trending_up +3,000 EGP","328,000 EGP",1/2/2023
352,Chery Arrizo 5 AT / BASELINE Leather 2022,"305,000 EGP","trending_up +3,000 EGP","308,000 EGP",1/2/2023
353,Hyundai Elantra HD A/T / HIGHLINE TINTED GLASS 15 2023,"475,000 EGP","trending_up +10,000 EGP","485,000 EGP",1/2/2023
354,Hyundai Elantra HD Automatic / GL / DAB / ABS / Tinted glass 2023,"465,000 EGP","trending_up +10,000  EGP","475,000 EGP",1/2/2023
355,Hyundai Elantra HD Automatic / GL / SR / TINTED GLASS 2023,"455,000 EGP","trending_up +10,000 EGP","465,000 EGP",1/2/2023
356,Hyundai Elantra HD Automatic / GL / TINTED GLASS 2023,"445,000 EGP","trending_up +10,000 EGP","455,000 EGP",1/2/2023
357,Hyundai Accent HCI A/T / Smart Plus 2022,"410,000 EGP","trending_up +120,000 EGP","530,000 EGP",1/2/2023
358,Hyundai Accent HCI A/T / SMART FUN 2022,"390,000 EGP","trending_up +120,000 EGP","510,000 EGP",1/2/2023
359,Hyundai Accent HCI A/T / Smart Safety 2022,"390,000 EGP","trending_up +105,000 EGP","495,000 EGP",1/2/2023
360,Chery Tiggo 8 Pro A/T / comfort 2022,"755,000 EGP","trending_up +30,000 EGP","785,000 EGP",12/20/2022
361,Chery Tiggo 7 A/T / Highline 2022,"470,000  EGP","trending_up +10,000 EGP","480,000 EGP",12/20/2022
362,Chery Tiggo 7 A/T / Baseline 2022,"439,000 EGP","trending_up +10,000 EGP","449,000 EGP",12/20/2022
363,Chery Tiggo 3 Automtic 2022,"372,000 EGP","trending_up +5,000 EGP","377,000 EGP",12/20/2022
364,Chery Arrizo 5 AT / HIGHLINE 2022,"319,000 EGP","trending_up +6,000 EGP","325,000 EGP",12/20/2022
365,Chery Arrizo 5 AT / BASELINE Leather 2022,"299,000 EGP","trending_up +6,000 EGP","305,000 EGP",12/20/2022
366,Chery Arrizo 5 Manual / Base Line / Leather 2022,"267,000 EGP","trending_up +4,000 EGP","271,000 EGP",12/20/2022
367,Chery Tiggo 8 Pro AT-6DCT COMFORT 2023,"785,000 EGP","trending_up +5,000 EGP","790,000 EGP",12/20/2022
368,Forthing T5 evo Automatic / Exclusive / NABA 2022,"695,000 EGP","trending_up +155,000 EGP","850,000 EGP",12/19/2022
369,Forthing T5 evo Automatic / red brushes 2022,"670,000 EGP","trending_up +160,000 EGP","830,000 EGP",12/19/2022
370,Forthing T5 evo Automtic / luxury / black 2022,"655,000 EGP","trending_up +125,000 EGP","780,000 EGP",12/19/2022
371,Chery Tiggo 8 Pro Automatic / Flagship 2022,"870,000 EGP","trending_up +40,000 EGP","910,000 EGP",12/18/2022
372,Chery Tiggo 8 Pro A/T / Luxury 2022,"830,000 EGP","trending_up +30,000 EGP","860,000 EGP",12/18/2022
373,Chery Tiggo 8 Pro AT-6DCT COMFORT 2023,"760,000 EGP","trending_up +25,000 EGP","785,000 EGP",12/18/2022
374,Chery Tiggo 8 A/T / Luxury 2022,"720,000 EGP","trending_up +20,000 EGP","740,000 EGP",12/18/2022
375,Chery Tiggo 8 Automtic / COMFORT 2022,"675,000 EGP","trending_up +20,000 EGP","695,000 EGP",12/18/2022
376,Chery Tiggo 8 Pro A/T / comfort 2022,"755,000 EGP","trending_up +20,000 EGP","775,000 EGP",12/18/2022
377,Chery Tiggo 7 pro A/T / Luxury 2022,"710,000 EGP","trending_up +20,000 EGP","730,000 EGP",12/18/2022
378,Chery Tiggo 7 pro A/T / Comfort 2022,"660,000 EGP","trending_up +20,000 EGP","680,000 EGP",12/18/2022
379,Chery Tiggo 7 A/T / Highline 2023,"520,000 EGP","trending_up +9,900 EGP","529,900 EGP",12/18/2022
380,Chery Tiggo 7 A/T / Baseline 2023,"480,000 EGP","trending_up +9,900 EGP","489,900 EGP",12/18/2022
381,Chery Tiggo 3 Automtic / Tinted Glass 2023,"410,000 EGP","trending_up +4,900 EGP","414,900  EGP",12/18/2022
382,Chery Arrizo 5 AT / HIGHLINE 2023,"349,000 EGP","trending_up +5,900 EGP","354,900 EGP",12/18/2022
383,Chery Arrizo 5 AT / BASELINE Leather / CVT 2023,"329,000 EGP","trending_up +5,900 EGP","334,900 EGP",12/18/2022
384,Chery Arrizo 5 Manual / Base Line / Leather 2023,"295,000 EGP","trending_up +4,900 EGP","299,900 EGP",12/18/2022
385,Ford EcoSport A/T / Sport plus 2022,"570,000 EGP","trending_up +25,000 EGP","595,000 EGP",12/18/2022
386,Ford EcoSport A/T / Trend plus 2022,"505,000 EGP","trending_up +25,000 EGP","530,000 EGP",12/18/2022
387,Volkswagen Golf A/T / Life 2022,"950,000 EGP","trending_up +160,000 EGP","1,110,000 EGP",12/15/2022
388,Volkswagen Tiguan A/T / R-Line 2022,"1,250,000 EGP","trending_up +200,000 EGP","1,450,000 EGP",12/15/2022
389,Volkswagen Tiguan A/T / Elegance 2022,"1,075,000 EGP","trending_up +215,000 EGP","1,290,000 EGP",12/15/2022
390,Volkswagen Passat A/T / R-Line 2022,"640,000 EGP","trending_up +720,000 EGP","1,360,000 EGP",12/15/2022
391,Volkswagen Passat A/T / Comfortline 2022,"1,150,000 EGP","trending_up +150,000 EGP","1,300,000 EGP",12/15/2022
392,Volkswagen Passat Automtic / Trendline plus 2022,"990,000 EGP","trending_up +160,000 EGP","1,150,000 EGP",12/15/2022
393,Volkswagen T-Roc A/T / R Line 2023,"109,000 EGP","trending_up +981,000 EGP","1,090,000 EGP",12/15/2022
394,Volkswagen T-Roc A/T / Life 2023,"799,000 EGP","trending_up +151,000 EGP","950,000 EGP",12/15/2022
395,Audi Q8 A/T / S Line Plus 2022,"3,350,000 EGP","trending_up +400,000 EGP","3,750,000 EGP",12/15/2022
396,Audi Q8 A/T / S Line 2022,"3,300,000 EGP","trending_up +250,000 EGP","3,550,000 EGP",12/15/2022
397,Audi Q7 A/T / S Line 2022,"2,550,000 EGP","trending_up +340,000 EGP","2,890,000 EGP",12/15/2022
398,Audi Q3 A/T / Sport back 2022,"1,700,000 EGP","trending_up +250,000 EGP","1,950,000 EGP",12/15/2022
399,Audi Q3 A/T / SB W New-Rim 2022,"1,450,000 EGP","trending_up +240,000 EGP","1,690,000 EGP",12/15/2022
400,Audi Q3 A/T / S-Line 2022,"1,300,000 EGP","trending_up +250,000 EGP","1,550,000 EGP",12/15/2022
401,Audi Q3 A/T / Advanced 2022,"1,150,000 EGP","trending_up +225,000 EGP","1,375,000 EGP",12/15/2022
402,Audi Q2 A/T / S Line 2022,"1,090,000 EGP","trending_up +160,000 EGP","1,250,000 EGP",12/15/2022
403,Audi Q2 A/T / Basis 2022,"880,000 EGP","trending_up +119,000 EGP","999,000 EGP",12/15/2022
404,Audi A6 A/T / S Line 2022,"2,150,000 EGP","trending_up +350,000 EGP","2,500,000 EGP",12/15/2022
405,Audi A5 A/T / S-Line 2022,"1,700,000 EGP","trending_up +190,000 EGP","1,890,000 EGP",12/15/2022
406,Audi A4 A/T / S Line Plus 2022,"1,550,000 EGP","trending_up +240,000 EGP","1,790,000 EGP",12/15/2022
407,Audi A4 A/T / Smart 2022,"1,350,000 EGP","trending_up +200,000 EGP","1,550,000 EGP",12/15/2022
408,Audi A3 A/T / Sport back 2022,"1,100,000 EGP","trending_up +250,000 EGP","1,350,000 EGP",12/15/2022
409,Audi A3 A/T / S-Line 2022,"1,100,000 EGP","trending_up +250,000 EGP","1,350,000 EGP",12/15/2022
410,Audi A3 A/T / Advanced 2022,"990,000 EGP","trending_up +260,000 EGP","1,250,000 EGP",12/15/2022
411,Skoda Fabia A/T / Dynamic 2023,"695,000 EGP","trending_up +5,000 EGP","700,000 EGP",12/14/2022
412,Skoda Karoq A/T / Style 2022,"795,000 EGP","trending_up +380,000 EGP","1,175,000 EGP",12/14/2022
413,Skoda Superb A/T / SPORT LINE 2022,"1,200,000 EGP","trending_up +100,000 EGP","1,300,000 EGP",12/14/2022
414,Skoda Superb A/T / Ambition 2022,"1,150,000 EGP","trending_up +100,000 EGP","1,250,000 EGP",12/14/2022
415,Skoda Superb A/T / Dynamic 2022,"995,000 EGP","trending_up +80,000 EGP","1,075,000 EGP",12/14/2022
416,Skoda Karoq A/T / Dynamic 2022,"900,000 EGP","trending_up +90,000 EGP","990,000 EGP",12/14/2022
417,Skoda Fabia A/T / MC 2023,"750,000 EGP","trending_up +100,000 EGP","850,000 EGP",12/14/2022
418,Skoda Fabia A/T / Ambition 2023,"685,000 EGP","trending_up +100,000 EGP","785,000 EGP",12/14/2022
419,Skoda Fabia A/T / Dynamic 2023,"595,000 EGP","trending_up +100,000 EGP","695,000 EGP",12/14/2022
420,Skoda Kodiaq A/T / L&K 2022,"1,475,000 EGP","trending_up +150,000 EGP","1,625,000 EGP",12/14/2022
421,Skoda Kodiaq A/T / SPORT LINE 2022,"1,400,000 EGP","trending_up +150,000 EGP","1,550,000 EGP",12/14/2022
422,Skoda Kodiaq A/T / Style 2022,"1,350,000 EGP","trending_up +150,000 EGP","1,500,000 EGP",12/14/2022
423,Skoda Kodiaq A/T / Ambition 2022,"1,250,000 EGP","trending_up +150,000 EGP","1,400,000 EGP",12/14/2022
424,Skoda Kodiaq A/T / Dynamic 2022,"1,150,000 EGP","trending_up +150,000 EGP","1,300,000 EGP",12/14/2022
425,Skoda Octavia A8 Automtic / RS 2022,"1,300,000 EGP","trending_up +100,000 EGP","1,400,000 EGP",12/14/2022
426,Skoda Octavia A8 A/T / Style Plus 2022,"975,000 EGP","trending_up +100,000 EGP","1,075,000 EGP",12/14/2022
427,Skoda Octavia A8 A/T / Style 2022,"900,000 EGP","trending_up +100,000 EGP","1,000,000 EGP",12/14/2022
428,Skoda Octavia A8 A/T / Ambition 2022,"800,000 EGP","trending_up +100,000 EGP","900,000 EGP",12/14/2022
