,symbol,name,price,pricing_changes,pricing_percentage_changes,sector,industry,market_cap,share_volume,earnings_per_share,annualized_dividend,dividend_pay_date,symbol_yield,beta,errors
139,CSX,CSX Corporation Common Stock,35.14,+0.78,(+2.27%),Transportation,Railroads,"76,757,663,593","15,269,523",$1.68,$0.40,"Mar 15, 2022",1.17%,1.22,False
140,TFC,Truist Financial Corporation Common Stock,59.26,+1.24,(+2.14%),Finance,Major Banks,"78,744,261,658","4,598,626",$4.47,$1.92,"Mar 1, 2022",3.32%,1.18,False
141,MMC,"Marsh & McLennan Companies, Inc. Common Stock",156.19,+0.89,(+0.57%),Finance,Specialty Insurers,"78,260,497,810","1,237,011",$6.13,$2.14,"Feb 15, 2022",1.43%,0.96,False
142,CCI,Crown Castle International Corp.,171.445,-1.315,(-0.76%),Consumer Services,Real Estate Investment Trusts,"74,042,677,644","628,228",$2.67,$5.88,"Mar 31, 2022",3.4%,0.54,False
143,BMO,Bank Of Montreal Common Stock,118.51,+2.18,(+1.87%),N/A,N/A,"76,533,545,279","702,496",$10.36,$4.197,"May 26, 2022",3.61%,1.21,False
144,JD,"JD.com, Inc. American Depositary Shares",61.91,+15.93,(+34.65%),Miscellaneous,Diversified Commercial Services,"95,719,069,840","48,819,188",N/A,N/A,N/A,0.69,,True
145,TJX,"TJX Companies, Inc.",62.19,+0.47,(+0.76%),Consumer Services,Department/Specialty Retail Stores,"73,827,243,805","4,218,289",$2.70,$1.04,"Mar 3, 2022",1.7%,0.97,False
146,SO,Southern Company,67.96,-0.70,(-1.02%),Public Utilities,Power Generation,"71,936,373,928","2,949,555",$2.26,$2.64,"Mar 7, 2022",3.84%,0.5,False
147,CI,Cigna Corporation Common Stock,234.13,+1.05,(+0.45%),Health Care,Medical Specialities,"75,395,126,783","809,186",$15.74,$4.48,"Mar 24, 2022",1.98%,0.86,False
148,GILD,"Gilead Sciences, Inc. Common Stock",57.45,-0.87,(-1.49%),Health Care,Biotechnology: Pharmaceutical Preparations,"72,111,025,497","8,375,025",$4.93,$2.92,"Mar 30, 2022",5.02%,0.41,False
149,BDX,"Becton, Dickinson and Company Common Stock",258.625,-0.065,(-0.03%),Health Care,Medical/Dental Instruments,"73,559,216,900","672,339",$5.78,$3.48,"Mar 31, 2022",1.36%,0.66,False
150,CP,Canadian Pacific Railway Limited Common Stock,78.5,+1.55,(+2.01%),N/A,N/A,"72,396,678,969","2,474,748",$3.37,$0.595,"Apr 25, 2022",0.78%,0.9,False
151,ICE,Intercontinental Exchange Inc. Common Stock,130.378,+0.118,(+0.09%),Finance,Investment Bankers/Brokers/Service,"73,001,470,638","1,193,476",$7.18,$1.52,"Mar 31, 2022",1.05%,0.84,False
152,CNQ,Canadian Natural Resources Limited Common Stock,58.29,+0.48,(+0.83%),N/A,N/A,"67,617,048,520","2,441,800",$5.17,$2.366,"Apr 5, 2022",3.18%,1.61,False
153,REGN,"Regeneron Pharmaceuticals, Inc. Common Stock",669.7,+3.77,(+0.57%),Health Care,Biotechnology: Pharmaceutical Preparations,"72,701,781,869","525,310",$72.08,N/A,N/A,N/A,0.18,False
154,SHOP,Shopify Inc. Class A Subordinate Voting Shares,604.537,+51.107,(+9.23%),N/A,N/A,"74,730,310,796","2,227,645",$22.89,N/A,N/A,N/A,1.63,False
155,EOG,"EOG Resources, Inc. Common Stock",112.01,-1.81,(-1.59%),Energy,Oil & Gas Production,"65,879,553,649","3,214,730",$7.98,$3.00,"Apr 29, 2022",2.59%,1.8,False
156,FCX,"Freeport-McMoRan, Inc. Common Stock",46.02,+1.74,(+3.93%),Basic Industries,Precious Metals,"66,221,633,624","13,768,681",$2.89,$0.30,"Feb 1, 2022",0.67%,2.01,False
157,NOC,Northrop Grumman Corporation Common Stock,419.69,-28.13,(-6.28%),Miscellaneous,Diversified Manufacture,"65,890,626,341","1,345,840",$43.62,$6.28,"Mar 16, 2022",1.42%,0.75,False
158,LRCX,Lam Research Corporation Common Stock,504.54,+19.82,(+4.09%),Technology,Industrial Machinery/Components,"70,043,021,800","984,802",$32.10,$6.00,"Apr 6, 2022",1.28%,1.25,False
159,D,"Dominion Energy, Inc. Common Stock",80.4,-0.62,(-0.77%),Public Utilities,Electric Utilities: Central,"65,031,590,357","2,899,781",$3.98,$2.67,"Mar 20, 2022",3.28%,0.4,False
161,EW,Edwards Lifesciences Corporation Common Stock,108.33,+2.18,(+2.05%),Health Care,Industrial Specialties,"67,068,961,163","1,089,117",$2.39,N/A,N/A,N/A,1.15,False
162,F,Ford Motor Company Common Stock,16.4191,+0.3591,(+2.24%),Capital Goods,Auto Manufacturing,"65,349,320,049","57,553,976",$4.43,$0.40,"Mar 1, 2022",2.54%,1.13,False
163,PSA,Public Storage Common Stock,355.275,+0.135,(+0.04%),Consumer Services,Real Estate Investment Trusts,"61,940,700,200","332,565",$9.87,$8.00,"Mar 31, 2022",2.22%,0.24,False
164,NSC,Norfolk Southern Corporation Common Stock,270.93,+2.87,(+1.07%),Transportation,Railroads,"64,809,445,339","608,682",$12.12,$4.96,"Feb 21, 2022",1.86%,1.38,False
165,ITW,Illinois Tool Works Inc. Common Stock,208.58,+0.13,(+0.06%),Capital Goods,Industrial Machinery/Components,"65,235,878,973","452,660",$8.51,$4.88,"Apr 14, 2022",2.37%,1.11,False
167,AON,Aon plc Class A Ordinary Shares,307.065,-0.555,(-0.18%),Finance,Specialty Insurers,"65,764,387,559","1,004,954",$5.57,$2.04,"Feb 15, 2022",0.69%,0.88,False
168,EQIX,"Equinix, Inc. Common Stock REIT",695.875,-5.765,(-0.82%),Consumer Services,Real Estate Investment Trusts,"63,162,708,983","202,285",$5.54,$12.40,"Mar 23, 2022",1.81%,0.45,False
169,WM,"Waste Management, Inc. Common Stock",152.82,-2.35,(-1.51%),Public Utilities,Environmental Services,"63,493,955,862","1,097,735",$4.30,$2.60,"Mar 31, 2022",1.49%,0.86,False
170,ATVI,"Activision Blizzard, Inc. Common Stock",79.17,-0.34,(-0.43%),Technology,Computer Software: Prepackaged Software,"61,832,288,363","6,307,282",$3.45,$0.47,"May 6, 2022",0.59%,0.55,False
171,TEAM,Atlassian Corporation Plc Class A Ordinary Shares,270.935,+25.765,(+10.51%),Technology,Computer Software: Prepackaged Software,"68,220,890,373","2,360,470",N/A,N/A,N/A,0.95,,True
172,CL,Colgate-Palmolive Company Common Stock,74.565,-0.925,(-1.23%),Consumer Non-Durables,Package Goods/Cosmetics,"62,801,205,228","2,617,862",$2.56,$1.88,"May 13, 2022",2.43%,0.63,False
173,PGR,Progressive Corporation,104.49,-2.82,(-2.63%),Finance,Property-Casualty Insurers,"61,286,278,087","1,465,571",$5.67,$0.40,"Apr 14, 2022",0.38%,0.46,False
174,FISV,"Fiserv, Inc. Common Stock",96.89,+1.44,(+1.51%),Technology,EDP Services,"63,106,572,528","1,665,126",$1.99,N/A,N/A,N/A,0.81,False
175,IBN,ICICI Bank Limited Common Stock,18.59,+0.24,(+1.31%),Finance,Commercial Banks,"64,466,742,888","7,733,699",$0.79,$0.049,"Sep 3, 2021",0.27%,1.13,False
176,NEM,Newmont Corporation,72.23,-1.14,(-1.55%),Basic Industries,Precious Metals,"57,079,413,334","6,001,960",$1.45,$2.20,"Mar 24, 2022",2.98%,0.28,False
177,AMX,"America Movil, S.A.B. de C.V. American Depository Receipt Series L",19.33,+0.31,(+1.63%),Public Utilities,Telecommunications Equipment,"62,098,531,536","6,245,160",$2.92,$0.393,"Nov 15, 2021",2.1%,0.91,False
178,SHW,Sherwin-Williams Company,241.9806,-0.4594,(-0.19%),Basic Industries,Paints/Coatings,"62,989,996,963","962,397",$6.96,$2.40,"Mar 11, 2022",1.01%,1.16,False
179,SLB,Schlumberger N.V. Common Stock,37.805,-1.455,(-3.71%),Energy,Oilfield Services/Equipment,"53,621,369,099","15,937,454",$1.32,$0.50,"Apr 7, 2022",1.2%,2.03,False
180,AMOV,"America Movil, S.A.B. de C.V. Class A American Depositary Shares",19.4462,+0.5462,(+2.89%),Public Utilities,Telecommunications Equipment,"61,873,420,339","1,157",N/A,N/A,N/A,N/A,0.92,False
181,GM,General Motors Company Common Stock,43.435,+1.305,(+3.10%),Capital Goods,Auto Manufacturing,"62,734,196,225","11,443,683",$6.71,N/A,N/A,N/A,1.21,False
182,VRTX,Vertex Pharmaceuticals Incorporated Common Stock,245.74,-1.25,(-0.51%),Health Care,Biotechnology: Pharmaceutical Preparations,"62,452,753,836","643,158",$9.03,N/A,N/A,N/A,0.57,False
183,UBER,"Uber Technologies, Inc. Common Stock",32.05,+2.25,(+7.55%),Technology,EDP Services,"61,726,275,720","24,846,063",N/A,N/A,N/A,1.32,,True
184,BSX,Boston Scientific Corporation Common Stock,43.46,+0.80,(+1.88%),Health Care,Medical/Dental Instruments,"61,934,119,748","4,694,415",$0.69,N/A,N/A,N/A,0.84,False
185,SQ,"Block, Inc. Class A Common Stock,",113.42,+10.33,(+10.02%),Technology,Computer Software: Prepackaged Software,"65,038,022,982","17,808,969",$0.31,N/A,N/A,N/A,2.32,False
186,ETN,"Eaton Corporation, PLC Ordinary Shares",151.5,+1.23,(+0.82%),Capital Goods,Industrial Machinery/Components,"60,298,560,000","1,059,441",$5.34,$3.24,"Mar 31, 2022",2.18%,1.21,False
187,SCCO,Southern Copper Corporation Common Stock,69.75,+1.33,(+1.94%),Basic Industries,Precious Metals,"53,621,305,234","525,752",$4.40,$4.00,"Mar 2, 2022",5.75%,1.05,False
188,FDX,FedEx Corporation Common Stock,223.82,+7.59,(+3.51%),Transportation,Air Freight/Delivery Services,"59,056,366,945","1,879,402",$18.15,$3.00,"Apr 1, 2022",1.42%,1.31,False
189,PXD,Pioneer Natural Resources Company Common Stock,228.685,+0.895,(+0.39%),Energy,Oil & Gas Production,"55,705,448,840","1,296,622",$8.25,$2.48,"Mar 14, 2022",1.08%,1.59,False
190,UBS,UBS Group AG Registered Ordinary Shares,17.99,+0.88,(+5.14%),Finance,Major Banks,"61,107,947,814","5,615,525",$2.05,$0.162,"Apr 14, 2022",0.71%,1.16,False
191,WDAY,"Workday, Inc. Class A Common Stock",225.1,+3.68,(+1.66%),Technology,Computer Software: Prepackaged Software,"56,043,280,000","928,996",$0.10,N/A,N/A,N/A,1.37,False
192,MCO,Moody's Corporation Common Stock,311.2015,+4.4915,(+1.46%),Technology,Advertising,"57,652,760,000","823,040",$11.78,$2.80,"Mar 18, 2022",0.93%,1.21,False
193,CM,Canadian Imperial Bank of Commerce Common Stock,126.03,+1.37,(+1.10%),N/A,N/A,"56,763,642,108","398,942",$11.50,$5.08,"Apr 28, 2022",4.06%,1.04,False
194,NTR,Nutrien Ltd. Common Shares,94.02,-3.41,(-3.50%),Capital Goods,Aerospace,"51,903,402,930","4,607,583",$5.52,$1.92,"Apr 14, 2022",1.86%,0.85,False
195,MRNA,"Moderna, Inc. Common Stock",166.3,+18.18,(+12.27%),Health Care,Biotechnology: Biological Products (No Diagnostic Substances),"66,591,030,290","9,486,358",$28.29,N/A,N/A,N/A,1.55,False
196,SNOW,Snowflake Inc. Class A Common Stock,192.895,+22.115,(+12.95%),Technology,Computer Software: Prepackaged Software,"57,890,700,000","10,135,146",N/A,N/A,N/A,1.71,,True
197,EMR,Emerson Electric Company Common Stock,92.87,+0.22,(+0.24%),Capital Goods,Industrial Machinery/Components,"54,838,080,000","2,400,455",$4.58,$2.06,"Mar 10, 2022",2.23%,1.46,False
198,EPD,Enterprise Products Partners L.P. Common Stock,24.037,-0.143,(-0.59%),Public Utilities,Natural Gas Distribution,"52,200,464,394","4,227,566",$2.10,$1.86,"Feb 11, 2022",7.57%,1.25,False
199,FIS,"Fidelity National Information Services, Inc. Common Stock",94.32,+1.72,(+1.86%),Miscellaneous,Business Services,"57,222,279,666","2,261,462",$0.68,$1.88,"Mar 25, 2022",2.11%,0.73,False
200,OXY,Occidental Petroleum Corporation Common Stock,53.36,-1.17,(-2.15%),Energy,Oil & Gas Production,"50,138,686,802","33,486,199",$1.56,$0.52,"Apr 15, 2022",0.94%,2.08,False
201,HUM,Humana Inc. Common Stock,437.43,-2.44,(-0.55%),Health Care,Medical Specialities,"55,488,208,860","467,355",$22.67,$3.15,"Apr 29, 2022",0.65%,0.95,False
202,COF,Capital One Financial Corporation Common Stock,136.03,+1.76,(+1.31%),Finance,Finance Companies,"56,377,871,046","1,920,321",$26.84,$2.40,"Feb 25, 2022",1.8%,1.55,False
203,PANW,"Palo Alto Networks, Inc. Common Stock",543.83,+3.77,(+0.70%),Technology,EDP Services,"53,250,511,295","1,116,728",N/A,N/A,N/A,1.31,,True
204,TRP,TC Energy Corporation Common Stock,53.48,-0.82,(-1.51%),N/A,N/A,"52,355,970,000","1,104,000",$1.50,$2.827,"Apr 29, 2022",5.12%,0.71,False
205,SNP,China Petroleum & Chemical Corporation Common Stock,43.68,+1.84,(+4.40%),Energy,Integrated oil Companies,"52,859,690,111","190,006",$8.80,$4.401,"Oct 7, 2021",10.35%,0.76,False
206,MRVL,"Marvell Technology, Inc. Common Stock",67.57,+1.79,(+2.72%),Technology,Semiconductors,"56,861,946,000","8,426,124",$0.24,"Apr 7, 2022",0.4%,1.2,,True
207,NGG,"National Grid Transco, PLC National Grid PLC",73.69,-1.91,(-2.53%),Public Utilities,Natural Gas Distribution,"53,420,066,893","281,372",N/A,$2.295,"Jan 19, 2022",3.15%,0.39,False
208,MET,"MetLife, Inc. Common Stock",67.01,+1.69,(+2.59%),Finance,Life Insurance,"55,230,737,653","3,929,118",$7.32,$1.92,"Mar 14, 2022",2.97%,1.18,False
209,RELX,RELX PLC PLC American Depositary Shares,29.22,+0.68,(+2.38%),Consumer Services,Publishing,"56,275,080,243","1,224,399",N/A,$0.964,"Jun 10, 2022",1.42%,0.76,False
210,MAR,Marriott International Class A Common Stock,170.4,+4.00,(+2.40%),Consumer Services,Hotels/Resorts,"55,288,523,092","1,385,689",$3.34,N/A,N/A,N/A,1.68,False
211,KDP,Keurig Dr Pepper Inc. Common Stock,37.105,-0.235,(-0.63%),Consumer Non-Durables,Beverages (Production/Distribution),"52,471,859,431","6,069,749",$1.50,$0.75,"Apr 15, 2022",2.02%,0.71,False
212,SAN,"Banco Santander, S.A. Sponsored ADR",3.41,+0.15,(+4.60%),Finance,Commercial Banks,"57,134,800,887","11,832,956",$0.51,$0.038,"Nov 5, 2021",1.19%,1.28,False
213,SE,"Sea Limited American Depositary Shares, each representing one Class A Ordinary Share",109.85,+16.08,(+17.15%),Technology,Computer Software: Prepackaged Software,"60,835,267,987","11,248,179",N/A,N/A,N/A,1.43,,True
214,E,ENI S.p.A. Common Stock,28.04,-0.16,(-0.57%),Energy,Oil & Gas Production,"49,521,195,869","276,506",$3.92,$1.305,"Jun 8, 2022",5.01%,0.93,False
215,TRI,Thomson Reuters Corp Ordinary Shares,103.5,+0.63,(+0.61%),N/A,N/A,"50,077,952,039","303,949",$11.43,$1.78,"Mar 15, 2022",1.74%,0.54,False
216,BCE,"BCE, Inc. Common Stock",53.19,+0.14,(+0.26%),N/A,N/A,"48,315,229,420","720,535",$2.39,$2.901,"Apr 15, 2022",5.47%,0.45,False
217,AIG,"American International Group, Inc. New Common Stock",59.42,+0.87,(+1.49%),Finance,Life Insurance,"51,045,399,740","2,467,950",$10.82,$1.28,"Mar 31, 2022",2.23%,1.29,False
218,SNAP,Snap Inc. Class A Common Stock,32.0,+2.42,(+8.18%),Technology,Internet and Information Services,"51,238,442,209","23,518,469",N/A,N/A,N/A,1.12,,True
219,KLAC,KLA Corporation Common Stock,344.33,+11.11,(+3.33%),Capital Goods,Electronic Components,"51,460,246,714","759,749",$19.43,$4.20,"Mar 1, 2022",1.31%,1.26,False
220,SRE,DBA Sempra Common Stock,153.705,-1.305,(-0.84%),Public Utilities,Oil/Gas Transmission,"48,462,342,192","1,012,343",$4.11,$4.58,"Apr 15, 2022",2.86%,0.6,False
221,APD,"Air Products and Chemicals, Inc. Common Stock",223.104,+0.474,(+0.21%),Basic Industries,Specialty Chemicals,"49,274,472,087","850,713",$9.79,$6.48,"May 9, 2022",2.75%,0.87,False
222,CNC,Centene Corporation Common Stock,86.175,+0.565,(+0.66%),Health Care,Medical Specialities,"50,255,485,518","1,693,650",$2.27,N/A,N/A,N/A,0.52,False
223,LHX,"L3Harris Technologies, Inc. Common Stock",242.51,-15.60,(-6.04%),Capital Goods,Industrial Machinery/Components,"46,857,543,573","1,719,839",$9.11,$4.48,"Mar 25, 2022",1.79%,0.77,False
224,AEP,"American Electric Power Company, Inc. Common Stock",94.57,-1.54,(-1.60%),Public Utilities,Electric Utilities: Central,"47,370,769,230","1,554,195",$4.98,$3.12,"Mar 10, 2022",3.29%,0.34,False
225,ILMN,"Illumina, Inc. Common Stock",321.75,+9.14,(+2.92%),Health Care,Medical Specialities,"50,184,265,000","519,507",$5.05,N/A,N/A,N/A,0.92,False
226,DG,Dollar General Corporation Common Stock,212.24,-2.01,(-0.94%),Consumer Services,Department/Specialty Retail Stores,"49,251,534,490","1,400,071",$10.21,$1.68,"Jan 18, 2022",0.81%,0.59,False
227,BSBR,"Banco Santander Brasil SA American Depositary Shares, each representing one unit",6.615,+0.195,(+3.04%),Finance,Commercial Banks,"49,227,856,350","1,709,022",$0.40,$0.231,"Mar 11, 2022",3.53%,0.88,False
228,ITUB,Itau Unibanco Banco Holding SA American Depositary Shares,4.9635,+0.1235,(+2.55%),Finance,Commercial Banks,"48,263,760,225","31,048,738",$0.51,$0.035,"May 12, 2022",0.7%,0.66,False
229,ADM,Archer-Daniels-Midland Company Common Stock,80.8165,-1.9935,(-2.41%),N/A,N/A,"45,504,573,171","3,198,045",$4.79,$1.60,"Mar 1, 2022",1.94%,0.78,False
230,NXPI,NXP Semiconductors N.V. Common Stock,184.625,+6.185,(+3.47%),Technology,Semiconductors,"48,086,488,653","1,505,888",$6.82,$3.38,"Apr 6, 2022",1.97%,1.41,False
231,VMW,"Vmware, Inc. Common stock, Class A",111.89,+0.73,(+0.66%),Technology,Computer Software: Prepackaged Software,"46,640,552,920","1,007,042",$4.31,N/A,N/A,N/A,0.69,False
232,CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,88.61,+0.44,(+0.50%),Technology,EDP Services,"46,224,631,718","2,282,296",$4.05,$1.08,"Mar 1, 2022",1.24%,1.1,False
233,KHC,The Kraft Heinz Company Common Stock,37.335,-0.485,(-1.28%),Consumer Non-Durables,Farming/Seeds/Milling,"45,621,034,768","3,265,653",$0.82,$1.60,"Mar 25, 2022",4.25%,0.97,False
234,STLA,Stellantis N.V. Common Shares,16.465,+0.975,(+6.29%),Capital Goods,Auto Manufacturing,"51,456,367,852","8,166,939",$0.15,N/A,N/A,N/A,0.71,False
235,ROP,"Roper Technologies, Inc. Common Stock",449.32,+3.52,(+0.79%),Capital Goods,Office Equipment/Supplies/Services,"47,145,329,657","188,828",$10.83,$2.48,"Jan 24, 2022",0.57%,1.07,False
236,ECL,Ecolab Inc. Common Stock,168.0125,+0.1925,(+0.11%),Consumer Non-Durables,Package Goods/Cosmetics,"47,953,458,529","1,393,272",$3.91,$2.04,"Apr 15, 2022",1.24%,1.09,False
237,SU,Suncor Energy Inc. Common Stock,29.86,+0.15,(+0.50%),N/A,N/A,"42,685,265,144","6,946,805",$2.22,$1.325,"Mar 25, 2022",4.31%,1.54,False
238,HMC,"Honda Motor Company, Ltd. Common Stock",28.11,+0.95,(+3.50%),Capital Goods,Auto Manufacturing,"47,960,120,213","991,904",$4.22,$0.778,"Dec 8, 2021",2.92%,0.72,False
239,TAK,Takeda Pharmaceutical Company Limited American Depositary Shares,14.9203,+0.4303,(+2.97%),Health Care,Biotechnology: Pharmaceutical Preparations,"46,491,883,686","2,011,107",$1.47,$0.664,"Dec 13, 2021",4.6%,0.81,False
241,SNPS,"Synopsys, Inc. Common Stock",294.91,+9.41,(+3.30%),Technology,EDP Services,"44,750,754,979","751,783",$5.78,N/A,N/A,N/A,1.17,False
242,ORLY,"O'Reilly Automotive, Inc. Common Stock",693.13,-2.71,(-0.39%),Consumer Services,Other Specialty Stores,"45,930,657,090","358,531",$31.10,N/A,N/A,N/A,1.02,False
243,MELI,"MercadoLibre, Inc. Common Stock",1041.44,+89.10,(+9.36%),Consumer Services,Catalog/Specialty Distribution,"51,808,022,899","617,097",$1.69,N/A,N/A,N/A,1.51,False
244,FTNT,"Fortinet, Inc. Common Stock",291.845,+8.525,(+3.01%),Miscellaneous,Diversified Manufacture,"46,390,431,708","838,467",$3.62,N/A,N/A,N/A,1.16,False
245,DOW,Dow Inc. Common Stock,59.22,+0.35,(+0.59%),Basic Industries,Industrial Specialties,"43,421,521,337","3,866,297",$8.38,$2.80,"Mar 11, 2022",4.64%,1.49,False
246,LFC,China Life Insurance Company Limited American Depositary Shares,7.595,+0.425,(+5.93%),Finance,Life Insurance,"44,986,445,280","1,169,411",$1.41,$0.424,"Sep 2, 2021",5.78%,0.93,False
247,MPC,Marathon Petroleum Corporation Common Stock,74.71,+0.31,(+0.42%),Energy,Integrated oil Companies,"42,255,320,740","3,969,834",$14.99,$2.32,"Mar 10, 2022",3.03%,1.92,False
248,APH,Amphenol Corporation Common Stock,74.58,+1.15,(+1.57%),Capital Goods,Electrical Products,"44,435,341,759","1,136,251",$2.54,$0.80,"Apr 13, 2022",1.12%,1.27,False
249,CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",185.07,-3.57,(-1.89%),Technology,EDP Services,"41,872,771,950","5,571,459",N/A,N/A,N/A,1.38,,True
250,PAYX,"Paychex, Inc. Common Stock",123.18,+1.36,(+1.12%),Miscellaneous,Business Services,"44,192,731,275","675,742",$3.53,$2.64,"Feb 24, 2022",2.2%,0.97,False
251,GOLD,Barrick Gold Corporation Common Stock,23.48,-0.29,(-1.22%),N/A,N/A,"41,725,134,885","16,430,648",$1.14,$0.40,"Mar 15, 2022",1.69%,0.25,False
252,EXC,Exelon Corporation Common Stock,43.24,-0.52,(-1.19%),Public Utilities,Power Generation,"42,155,690,994","4,716,525",$1.71,$1.35,"Mar 10, 2022",3.1%,0.47,False
253,SPG,"Simon Property Group, Inc. Common Stock",130.65,+1.77,(+1.37%),Consumer Services,Real Estate Investment Trusts,"42,694,492,702","1,347,492",$6.84,$6.60,"Mar 31, 2022",5.15%,1.51,False
254,JCI,Johnson Controls International plc Ordinary Share,64.0,+2.51,(+4.08%),Capital Goods,Industrial Machinery/Components,"44,628,997,346","3,699,329",$2.20,$1.40,"Apr 14, 2022",2.25%,1.16,False
255,ADSK,"Autodesk, Inc. Common Stock",202.894,+10.464,(+5.44%),Technology,Computer Software: Prepackaged Software,"43,496,364,076","1,592,252",$2.23,N/A,N/A,N/A,1.46,False
256,VOD,Vodafone Group Plc American Depositary Shares,16.475,+0.255,(+1.57%),Public Utilities,Telecommunications Equipment,13.63,"4,327,750","Nov 24, 2021","Feb 4, 2022",0.82,"Nov 16, 2011",$0.64,False
257,MCK,McKesson Corporation Common Stock,288.73,-1.90,(-0.65%),Health Care,Other Pharmaceuticals,"43,222,823,988","746,250",$8.89,$1.88,"Apr 1, 2022",0.66%,0.7,False
258,HSY,The Hershey Company Common Stock,203.2,-5.62,(-2.69%),Consumer Non-Durables,Specialty Foods,"41,709,249,367","613,536",$7.11,$3.604,"Mar 15, 2022",1.74%,0.39,False
259,IDXX,"IDEXX Laboratories, Inc. Common Stock",514.4,+11.47,(+2.28%),Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,"42,953,553,496","192,959",$8.61,N/A,N/A,N/A,1,False
260,TRV,"The Travelers Companies, Inc. Common Stock",177.84,-2.35,(-1.30%),Finance,Property-Casualty Insurers,"42,929,170,120","930,067",$14.52,$3.52,"Mar 31, 2022",1.99%,0.69,False
261,COIN,"Coinbase Global, Inc. Class A Common Stock",166.79,+10.81,(+6.93%),Technology,EDP Services,"43,349,688,000","4,315,847",$14.41,N/A,N/A,N/A,2.87,False
262,TEL,TE Connectivity Ltd. New Switzerland Registered Shares,130.65,+3.27,(+2.57%),Capital Goods,Industrial Machinery/Components,"42,293,849,604","1,434,243",$7.37,$2.24,"Jun 3, 2022",1.58%,1.35,False
263,BIDU,"Baidu, Inc. ADS",145.9,+37.52,(+34.62%),Technology,"Computer Software: Programming, Data Processing","49,518,307,692","11,052,740",$4.23,N/A,N/A,N/A,0.95,False
